title,average_rating,language_code,  num_pages,ratings_count,text_reviews_count,publisher,Bookauthor_no,Bookauthor_Main,Bookauthor_Co1,Bookauthor_Co2,Age_years,title_nwords
On Beyond Zebra!,4.04,eng,64,2815,164,Random House Books for Young Readers,1,Dr. Seuss,0,0,65,3
The Spy Who Barked (Adam Sharp #1),3.43,eng,48,26,5,Random House Books for Young Readers,1,George E. Stanley,0,0,18,7
Farm Animals (A Chunky Book),3.86,eng,28,35,4,Random House Books for Young Readers,1,Phoebe Dunn,0,0,36,5
Happy Birthday to You!,4.13,eng,64,4344,262,Random House Books for Young Readers,1,Dr. Seuss,0,0,61,4
McElligot's Pool,4.06,eng,64,4560,253,Random House Books for Young Readers,1,Dr. Seuss,0,0,73,2
The Cat in the Hat,4.17,eng,61,289,4,Random House Books for Young Readers,1,Dr. Seuss,0,0,23,5
Horton Hears a Who!,4.18,eng,64,89920,1207,Random House Books for Young Readers,1,Dr. Seuss,0,0,30,4
The 500 Hats of Bartholomew Cubbins,4.04,eng,56,13097,324,Random House Books for Young Readers,1,Dr. Seuss,0,0,31,6
The Lorax,4.35,eng,72,260054,3532,Random House Books for Young Readers,1,Dr. Seuss,0,0,22,2
Daisy-Head Mayzie,3.87,eng,56,3196,137,Random House Books for Young Readers,1,Dr. Seuss,0,0,25,2
Dr. Seuss's ABC (Book & CD),4.08,eng,64,8,0,Random House Books for Young Readers,1,Dr. Seuss,0,0,15,6
The Prophet of Yonwood,3.27,eng,289,621,82,Random House Books for Young Readers,1,Jeanne DuPrau,0,0,14,4
Jane Eyre,4.06,eng,112,140,8,Random House Books for Young Readers,3,Jane E. Gerver,Bill Dodge,Charlotte Brontë,23,2
Ancient Greece and the Olympics (Magic Tree House Research Guide  #10),4.05,eng,119,1073,30,Random House Books for Young Readers,3,Mary Pope Osborne,Natalie Pope Boyce,Salvatore Murdocca,16,12
The Landing of the Pilgrims,3.41,eng,160,611,69,Random House Books for Young Readers,1,James Daugherty,0,0,39,5
The Little Butterfly,4.03,eng,24,17,6,Random House Books for Young Readers,1,Sherry Shahan,0,0,22,3
Thanksgiving on Thursday (Magic Tree House  #27),3.85,eng,73,6361,209,Random House Books for Young Readers,2,Mary Pope Osborne,Salvatore Murdocca,0,18,8
Dr. Jekyll and Mr. Hyde (Bullseye Chillers),3.81,eng,96,30,4,Random House Books for Young Readers,5,Kate McMullan,Paul Van Munching,Glenn Dean,36,7
Code Word Kangaroo (Adam Sharp #6),4.14,eng,48,5,0,Random House Books for Young Readers,2,George E. Stanley,Guy Francis,0,16,6
The Empty Envelope (A to Z Mysteries  #5),4.06,eng,96,82,12,Random House Books for Young Readers,2,Ron Roy,John Steven Gurney,0,11,9
Marsha Is Only a Flower (Marsha  #2),3.82,eng,48,20,1,Random House Books for Young Readers,1,Barbara Bottner,0,0,20,8
The Easter Rabbit's Parade,3.0,eng,40,29,7,Random House Books for Young Readers,1,Lois Lenski,0,0,16,4
The Little Fire Engine,3.56,eng,56,209,27,Random House Books for Young Readers,1,Lois Lenski,0,0,20,4
I Like Winter (Seasons  #3),3.94,eng,56,65,9,Random House Books for Young Readers,2,Lois Lenski,Heidi Kilgras,0,20,6
The Trail of Tears,3.91,eng,48,170,31,Random House Books for Young Readers,2,Joseph Bruchac,Diana Magnuson,0,21,4
P. J. Funnybunny Camps Out,3.87,eng,32,169,16,Random House Books for Young Readers,2,Marilyn Sadler,Roger Bollen,0,26,5
Juniper,4.16,eng,198,112,7,Random House Children's Books,1,Monica Furlong,0,0,16,1
Grandma Baa (Easy Peasy People),4.12,eng,32,6,0,Random House for Young Readers,2,Roger Hargreaves,Gray Jolliffe,0,31,5
Bill Buzz,4.67,eng,32,2,0,Random House for Young Readers,2,Roger Hargreaves,Gray Jolliffe,0,31,2
Gary Grizzle,4.33,eng,32,3,0,Random House for Young Readers,2,Roger Hargreaves,Gray Jolliffe,0,31,2
Ancient Rome and Pompeii (Magic Tree House Research Guide  #14),4.07,eng,128,659,30,Random House for Young Readers,3,Mary Pope Osborne,Natalie Pope Boyce,Salvatore Murdocca,14,11
Earthquake in the Early Morning (Magic Tree House  #24),3.94,eng,96,6816,227,Random House for Young Readers,2,Mary Pope Osborne,Salvatore Murdocca,0,10,10
The Next Whole Earth Catalog: Access to Tools,4.45,eng,608,24,0,Random House Inc.,1,Stewart Brand,0,0,39,8
The Lost Painting,3.74,eng,368,5,0,Random House Large Print,1,Jonathan Harr,0,0,15,3
Memoirs of a Geisha,4.11,eng,434,1301083,19296,Random House Large Print Publishing,1,Arthur Golden,0,0,15,4
Random House Crossword Mega Omnibus  Volume 1,0.0,eng,336,0,0,Random House Puzzles & Games,1,United Feature Syndication,0,0,23,8
Spunk & Bite: A Writer's Guide to Punchier  More Engaging Language & Style,3.9,eng,263,690,87,Random House Reference Publishing,1,Arthur Plotnik,0,0,15,14
Boogaloo on 2nd Avenue,3.17,eng,319,191,26,Random House Trade,1,Mark Kurlansky,0,0,14,4
Shalimar the Clown,3.88,eng,398,11418,743,Random House Trade,1,Salman Rushdie,0,0,14,3
Comfort Me with Apples: More Adventures at the Table,4.04,eng,302,17939,947,Random House Trade,1,Ruth Reichl,0,0,18,9
Grimus,3.41,eng,320,2560,150,Random House Trade,1,Salman Rushdie,0,0,17,1
Mountains Beyond Mountains: The Quest of Dr. Paul Farmer  a Man Who Would Cure the World,4.21,eng,333,63813,4347,Random House Trade,1,Tracy Kidder,0,0,16,17
Rabbit at Rest (Rabbit Angstrom #4),3.97,eng,608,13361,395,Random House Trade,1,John Updike,0,0,24,6
Savage Beauty: The Life of Edna St. Vincent Millay,4.01,eng,608,6799,483,Random House Trade,1,Nancy Milford,0,0,18,9
A Working Stiff's Manifesto: A Memoir of Thirty Jobs I Quit  Nine That Fired Me  and Three I Can't Remember,3.83,eng,164,509,81,Random House Trade,1,Iain Levison,0,0,17,22
The Piano Shop on the Left Bank: Discovering a Forgotten Passion in a Paris Atelier,3.95,eng,281,4151,521,Random House Trade,1,Thad Carhart,0,0,18,15
Nine Horses,4.17,eng,144,4107,246,Random House Trade,1,Billy Collins,0,0,17,2
No god but God: The Origins  Evolution and Future of Islam,4.12,eng,310,16918,1107,Random House Trade,1,Reza Aslan,0,0,14,12
Paris 1919: Six Months that Changed the World,4.08,eng,570,9679,640,Random House Trade,2,Margaret MacMillan,Richard Holbrooke,0,17,8
The Franklin Affair,3.12,eng,208,144,25,Random House Trade,1,Jim Lehrer,0,0,14,3
Sailing Alone Around the Room: New and Selected Poems,4.23,eng,192,12180,630,Random House Trade Paperbacks,1,Billy Collins,0,0,18,9
Pompeii,3.82,eng,274,26922,1726,Random House Trade Paperbacks,1,Robert   Harris,0,0,15,1
An Evening of Long Good,3.6,eng,448,983,130,Random House Trade Paperbacks,1,Paul Murray,0,0,15,5
1968: The Year That Rocked the World,3.78,eng,480,2046,248,Random House Trade Paperbacks,1,Mark Kurlansky,0,0,15,7
A Man Without a Country,4.07,eng,160,34339,2061,Random House Trade Paperbacks,2,Kurt Vonnegut Jr.,Daniel Simon,0,13,5
Paris to the Moon,3.76,eng,368,12356,941,Random House Trade Paperbacks,1,Adam Gopnik,0,0,19,4
Reading Lolita in Tehran: A Memoir in Books,3.61,eng,356,106493,6561,Random House Trade Paperbacks,1,Azar Nafisi,0,0,17,8
Prep : A Novel,3.38,eng,420,55304,4450,Random House Trade Paperbacks,1,Curtis Sittenfeld,0,0,15,4
When Genius Failed: The Rise and Fall of Long-Term Capital Management,4.19,eng,264,20145,530,Random House Trade Paperbacks,1,Roger Lowenstein,0,0,19,11
Brazil,3.45,eng,272,2001,150,Random House Trade Paperbacks,1,John Updike,0,0,24,1
The Source,4.3,eng,1080,34972,1149,Random House Trade Paperbacks,1,James A. Michener,0,0,18,2
The Botany of Desire: A Plant's-Eye View of the World,4.06,eng,297,39680,2780,Random House Trade Paperbacks,1,Michael Pollan,0,0,18,10
The March,3.8,eng,363,8266,831,Random House Trade Paperbacks,1,E.L. Doctorow,0,0,14,2
The Greatest Generation,4.01,eng,464,14233,914,Random House Trade Paperbacks,1,Tom Brokaw,0,0,19,3
Fooled,4.06,eng,368,40155,1550,Random House Trade Paperbacks,1,Nassim Nicholas Taleb,0,0,15,1
The Family That Couldn't Sleep: A Medical Mystery,3.91,eng,299,237,48,Random House Trade Paperbacks,1,D.T. Max,0,0,13,8
Thank You for Smoking,3.93,eng,272,9900,561,Random House Trade Paperbacks,1,Christopher Buckley,0,0,14,4
Theodore Rex,4.19,eng,555,38131,911,Random House Trade Paperbacks,1,Edmund Morris,0,0,18,2
The Rise of Theodore Roosevelt,4.23,eng,780,36847,1461,Random House Trade Paperbacks,1,Edmund Morris,0,0,19,5
The Scientists: A History of Science Told Through the Lives of Its Greatest Inventors,4.08,eng,672,892,59,Random House Trade Paperbacks,1,John Gribbin,0,0,16,14
A Dubious Codicil,3.25,eng,224,3,0,Random House UK Distribution,1,Michael Wharton,0,0,29,3
Falconer,3.66,eng,224,7,0,Random House UK Ltd (A Division of Random House Group),1,John Cheever,0,0,43,1
The Complete Science Fiction Treasury of H.G. Wells,4.14,eng,0,45,1,Random House Value Publishing,1,H.G. Wells,0,0,33,8
The Far Pavilions,4.21,eng,0,19,4,Random House Value Publishing,1,M.M. Kaye,0,0,32,3
The Annotated Gulliver's Travels,3.57,eng,298,57,9,Random House Value Publishing,2,Jonathan Swift,Isaac Asimov,0,40,4
Absolute Truths (Starbridge  #6),4.34,eng,672,1066,52,Random House Value Publishing,1,Susan Howatch,0,0,24,5
Five Complete Novels,4.13,eng,579,58,13,Random House Value Publishing,1,Ursula K. Le Guin,0,0,35,3
Seven Complete Perry Mason Novels - The Case Of: The Foot-Loose Doll / The Glamorous Ghost / The Long-Legged Models / The Lucky Loser  The Screaming Woman / The Terrified Typist / The Waylaid Wolf,4.01,eng,821,76,6,Random House Value Publishing,1,Erle Stanley Gardner,0,0,26,36
Three Novels & Five Short Stories,4.12,eng,677,33,2,Random House Value Publishing,1,Daphne du Maurier,0,0,32,6
Science Fiction Treasury: Six Complete Novels (complete & unabridged),3.94,eng,688,17,1,Random House Value Publishing,2,H.G. Wells,George Gesner,0,36,9
First King of Shannara (Shannara Prequel),3.96,eng,0,1,0,Random House Value Publishing,1,Terry Brooks,0,0,24,6
The Guide to Hollywood and Beverly Hills,4.33,eng,174,3,0,Random House Value Publishing,1,Charles Lockwood,0,0,36,7
Lost Boys,3.59,eng,448,7469,689,Random House Value Publishing,1,Orson Scott Card,0,0,26,2
Tarzan of the Apes: Tarzan of the Apes/The Son of Tarzan/Tarzan at the Earth's Core/Tarzan Triumphant,4.14,eng,848,29,1,Random House Value Publishing,4,Edgar Rice Burroughs,Esteban Maroto,J. Allen St. John,32,16
The Crossing,4.13,eng,425,232,13,Random House Value Publishing,1,Cormac McCarthy,0,0,24,2
The O. Henry Prize Stories 2003,3.78,eng,384,138,22,Random House Value Publishing,4,Laura Furman,David Guterson,Diane Johnson,17,6
Unearthly Neighbors,3.83,eng,208,38,8,Random House Value Publishing,1,Chad Oliver,0,0,36,2
The Shores of Another Sea (Classics of Modern Science Fiction 3),3.55,eng,214,37,6,Random House Value Publishing,3,Chad Oliver,George Zebrowski,Isaac Asimov,36,11
Fine Lines (One-Eyed Mack  #6),3.23,eng,0,17,4,Random House Value Publishing,1,Jim Lehrer,0,0,25,6
Jack London Illustrated: The Call of the Wild/White Fang/The Sea-Wolf/40 Short Stories,4.26,eng,761,20,1,Random House Value Publishing,1,Jack London,0,0,27,12
The Portable James Joyce,4.17,eng,762,20,3,Random House Value Publishing/TheViking Press,2,James Joyce,Harry Levin,0,34,4
Geek Love,3.97,eng,348,50103,5030,Random House Vintage,1,Katherine Dunn,0,0,18,2
Wilderness: The Lost Writings  Vol. 1,3.96,eng,214,2940,124,Random House Vintage Books,1,Jim Morrison,0,0,31,7
The Picture of Dorian Gray,4.08,eng,272,760717,17179,Random House: Modern Library,2,Oscar Wilde,Jeffrey Eugenides,0,16,5
Underdog (Wolfe Brothers  #1),3.38,eng,153,2591,207,Ravensburger Buchverlag,1,Markus Zusak,0,0,21,5
City of the Beasts (Eagle and Jaguar  #1),3.71,eng,408,17962,778,Rayo,2,Isabel Allende,Margaret Sayers Peden,0,16,9
El alquimista: una fábula para seguir tus sueños,3.86,eng,192,775,43,Rayo,2,Paulo Coelho,Juan Godó Costa,0,2,8
El Alquimista: Edicion Illustrada: Edicion Illustrada,3.86,eng,192,43,5,Rayo,1,Paulo Coelho,0,0,13,6
Devilish,3.46,eng,263,4782,463,Razorbill,1,Maureen Johnson,0,0,14,1
So Yesterday,3.58,eng,256,10390,820,Razorbill,1,Scott Westerfeld,0,0,15,2
A Damsel in Distress,4.08,eng,216,3526,355,rbooks,1,P.G. Wodehouse,0,0,14,4
William S. Burroughs  Throbbing Gristle  Brion Gysin,4.26,eng,140,1290,17,Re/Search Publications,5,V. Vale,Andrea Juno,William S. Burroughs,12,9
Complete Guide to the Bible,4.58,eng,448,12,3,Readers Digest,1,Reader's Digest Association,0,0,22,5
A Reader's Digest Songbook: Remembering Yesterday's Hits,4.38,eng,12,13,0,Reader's Digest Association,1,William L. Simon,0,0,33,7
New Complete Guide to Sewing,4.23,eng,384,420,37,Readers Digest.,1,Reader's Digest Association,0,0,18,5
Photos of the Gods: The Printed Image and Political Struggle in India,3.96,eng,239,25,0,Reaktion Books,1,Christopher Pinney,0,0,16,12
Leaving the 20th Century: The Incomplete Work of the Situationist International,4.1,eng,136,30,2,Rebel Press,2,Chris Gray,Larry  Law,0,22,11
House of Sand and Fog,3.85,eng,15,108,19,Recorded Books,2,Andre Dubus III,Fontaine Dollas Dubus,0,21,5
Mistress of Magic (The Mists of Avalon  #1),4.12,eng,14,12,4,Recorded Books,2,Marion Zimmer Bradley,Davina Porter,0,27,9
The Glass Castle,4.27,eng,10,14,6,Recorded Books,2,Jeannette Walls,Julia Gibson,0,15,3
The Curious Incident of the Dog in the Night-Time,3.88,eng,6,614,119,Recorded Books,1,Mark Haddon,0,0,14,9
The Richest Man in Ba,4.26,eng,4,86,15,Recorded Books  Inc.,1,George S. Clason,0,0,15,5
In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency  #6),4.08,eng,10,133,23,Recorded Books  Inc.,2,Alexander McCall Smith,Lisette Lecat,0,15,13
The Lord of the Rings (The Lord of the Rings  #1-3),4.5,eng,56,151,16,Recorded Books  Inc.,2,J.R.R. Tolkien,Rob Inglis,0,18,12
The Art of War,3.97,eng,5,72,22,Recorded Books  Inc.,2,Sun Tzu,Ralph D. Sawyer,0,17,4
The Return of the King (The Lord of the Rings  #3),4.53,eng,16,3529,171,Recorded Books  Inc.,2,J.R.R. Tolkien,Rob Inglis,0,19,12
Monkey Business,3.67,eng,392,3379,67,Red Dress Ink,1,Sarah Mlynowski,0,0,16,2
Me vs. Me,3.67,eng,311,1725,120,Red Dress Ink,1,Sarah Mlynowski,0,0,14,3
Girls' Night In,3.63,eng,325,12765,185,Red Dress Ink,21,Lauren Henderson,Chris Manby,Sarah Mlynowski,16,3
Seven Sunny Days,3.35,eng,352,588,30,Red Dress Ink,1,Chris Manby,0,0,15,3
The Curious Incident of the Dog In the Night-time,3.88,eng,268,6124,754,Red Fox,1,Mark Haddon,0,0,16,9
Redwall (Redwall  #1),4.12,eng,352,88167,2604,Red Fox,1,Brian Jacques,0,0,14,4
The Spook's Apprentice (The Last Apprentice / Wardstone Chronicles  #1),3.99,eng,325,2956,242,Red Fox,1,Joseph Delaney,0,0,15,11
To America with Love: Letters from the Underground,3.96,eng,224,69,3,Red Hen Pr,2,Abbie Hoffman,Anita Hoffman,0,20,8
Lessons from Turtle Island: Native Curriculum in Early Childhood Classrooms,4.35,eng,208,16,2,Redleaf Press,2,Guy W. Jones,Sally Moomaw,0,18,10
Let Justice Roll Down,4.35,eng,219,767,89,Regal Books,2,John M. Perkins,Shane Claiborne,0,14,4
Mirror Mirror,3.28,eng,280,28014,1512,Regan Books,1,Gregory Maguire,0,0,16,2
The Physics of Star Trek,3.83,eng,188,4774,178,ReganBooks,2,Lawrence M. Krauss,Stephen Hawking,0,24,5
Girlfriend in a Coma,3.62,eng,288,15798,612,ReganBooks,1,Douglas Coupland,0,0,21,4
George Washington and Benedict Arnold: A Tale of Two Patriots,4.27,eng,424,242,37,Regnery History,1,Dave R. Palmer,0,0,14,10
The Real Jimmy Carter: How Our Worst Ex-President Undermines American Foreign Policy  Coddles Dictators and Created the Party of Clinton and Kerry,3.32,eng,272,33,4,Regnery Publishing,1,Steven F. Hayward,0,0,16,23
America Alone: The End of the World As We Know It,4.13,eng,224,3095,362,Regnery Publishing,1,Mark Steyn,0,0,14,11
Resurrection,4.13,eng,562,11468,530,Replica Books,3,Leo Tolstoy,Louise Maude,Aylmer Maude,20,1
Desire and Duty: A Sequel to Jane Austen's Pride and Prejudice,2.86,eng,286,114,9,Revive Publishing,2,Ted Bader,Marilyn Bader,0,23,11
Point Of Impact (Bob Lee Swagger  #1),4.27,eng,0,15,1,RH Audio,2,Stephen Hunter,Beau Bridges,0,13,8
Potshot (Spenser  #28),3.89,eng,0,2,0,RH Audio Price-less,2,Robert B. Parker,Joe Mantegna,0,17,4
Pacific Northwest Hiking: The Complete Guide to More Than 1 000 of the Best Hikes in Washington and Oregon (Foghorn Outdoors),4.24,eng,912,12,1,Rick Steves,2,Scott Leonard,Megan McMorris,0,15,21
Man's Search for Meaning,4.36,eng,160,1959,198,Rider,3,Viktor E. Frankl,Ilse Lasch,Gordon W. Allport,16,4
Songbook,3.56,eng,207,10066,341,Riverhead Books,1,Nick Hornby,0,0,17,1
Fever Pitch,3.74,eng,247,28830,1069,Riverhead Books,1,Nick Hornby,0,0,22,2
Prozac Nation,3.59,eng,384,895,78,Riverhead Books,1,Elizabeth Wurtzel,0,0,18,2
A Long Way Down,3.42,eng,368,65202,3943,Riverhead Books,1,Nick Hornby,0,0,14,4
Desolation Angels,3.93,eng,432,9646,273,Riverhead Books,2,Jack Kerouac,Joyce Johnson,0,25,2
Plan B: Further Thoughts on Faith,4.05,eng,352,18922,865,Riverhead Books,1,Anne Lamott,0,0,14,6
An Instance of the Fingerpost,3.94,eng,691,19134,1081,Riverhead Books,1,Iain Pears,0,0,20,5
An Instance of the Fingerpost,3.94,eng,691,214,24,Riverhead Books,1,Iain Pears,0,0,22,5
The Dream of Scipio,3.73,eng,416,3311,320,Riverhead Books,1,Iain Pears,0,0,17,4
Eat  Pray  Love,3.55,eng,368,1362264,47620,Riverhead Books,1,Elizabeth Gilbert,0,0,13,5
The Western Canon: The Books and School of the Ages,3.86,eng,546,2141,167,Riverhead Books,1,Harold Bloom,0,0,25,10
The Last American Man,3.81,eng,271,7966,960,Riverhead Books,1,Elizabeth Gilbert,0,0,17,4
The Brief and Frightening Reign of Phil,3.7,eng,130,5157,553,Riverhead Books,1,George Saunders,0,0,15,7
The Color of Water: A Black Man's Tribute to His White Mother,4.09,eng,291,92989,4663,Riverhead Books,1,James   McBride,0,0,16,12
Caucasia,4.03,eng,413,6206,599,Riverhead Books,1,Danzy Senna,0,0,21,1
The Ghost Map: The Story of London's Most Terrifying Epidemic—and How It Changed Science  Cities  and the Modern World,3.9,eng,299,32723,2855,Riverhead Books,1,Steven Johnson,0,0,14,21
Symptomatic,3.32,eng,220,523,65,Riverhead Books,1,Danzy Senna,0,0,15,1
Illuminata: A Return to Prayer,4.28,eng,301,2551,84,Riverhead Books,1,Marianne Williamson,0,0,25,5
The Art of Happiness,4.16,eng,336,80161,2036,Riverhead Hardcover,2,Dalai Lama XIV,Howard C. Cutler,0,22,4
Collected Plays: Henry IV  The Man with the Flower in His Mouth  Right You Are,3.92,eng,236,12,1,Riverrun Press (New York  NY),2,Luigi Pirandello,Henry Reed,0,33,17
History of Beauty,3.78,eng,432,47625,186,Rizzoli,4,Umberto Eco,Girolamo De Michele,Alastair McEwen,16,3
Tom Ford,4.47,eng,416,182,11,Rizzoli,4,Graydon Carter,Tom Ford,Anna Wintour,12,2
Visions of Heaven and Hell,4.32,eng,352,661,20,Rizzoli,1,Clive Barker,0,0,15,5
Romanee Conti: The World's Most Fabled Wine,3.75,eng,208,20,1,Rizzoli International Publications,1,Richard Olney,0,0,25,7
Michael Smith Elements of Style,4.17,eng,212,18,1,Rizzoli International Publications,2,Michael S.  Smith,Diane Dorrans Saeks,0,15,5
Ba,3.75,eng,32,4,0,Roaring Brook Press,2,Jean Marzollo,Nancy Sheehan,0,18,1
Side Effects,3.87,eng,144,904,179,Roaring Brook Press,1,Amy Goldman Koss,0,0,14,2
The Spice and Herb Bible,4.25,eng,606,155,16,Robert Rose,2,Ian Hemphill,Kate Hemphill,0,14,5
Navajo Long Walk,3.45,eng,128,56,11,Roberts Rinehart Publishers,2,Nancy M. Armstrong,Paulette Livers-Lambert,0,26,3
Mammoth Book Of Lesbian Short Stories (Mammoth Books),3.65,eng,512,7,1,Robson Books  London,1,Emma Donoghue,0,0,21,8
The Innkeeper's Song,3.89,eng,346,2015,136,Roc,1,Peter S. Beagle,0,0,27,3
Dead Beat (The Dresden Files  #7),4.43,eng,517,91592,2747,Roc,1,Jim Butcher,0,0,14,7
The Forest House (Avalon  #2),3.86,eng,462,15171,322,Roc,2,Marion Zimmer Bradley,Diana L. Paxson,0,25,6
Not of Woman Born,3.82,eng,288,60,11,Roc,15,Constance Ash,Nina Kiriki Hoffman,Patricia A. McKillip,21,4
Thin Air (Weather Warden  #6),3.96,eng,307,5875,182,Roc,1,Rachel Caine,0,0,13,6
At Sword's Point (Knights of the Blood  #2),3.52,eng,352,185,8,Roc,2,Scott MacMillan,Katherine Kurtz,0,26,9
Kushiel's Justice (Imriel's Trilogy  #2),4.25,eng,703,15897,381,Roc,1,Jacqueline Carey,0,0,13,6
The River's Gift,3.9,eng,128,1050,59,Roc Hardcover,1,Mercedes Lackey,0,0,21,3
Bored of the Rings: A Parody of J.R.R. Tolkien's Lord of the Rings,3.13,eng,149,4438,301,Roc Trade,3,The Harvard Lampoon,Henry N. Beard,Douglas C. Kenney,27,13
LOGO Lounge: 2 000 International Identities,3.93,eng,191,27,0,Rockport Publishers,2,Catharine M. Fishel,Bill Gardner,0,16,6
An Inconvenient Truth: The Planetary Emergency of Global Warming and What We Can Do About It,3.77,eng,328,5783,433,Rodale Books,1,Al Gore,0,0,14,16
The Mini Rough Guide to London,3.75,eng,363,1,0,Rough Guides,3,Rob Humphreys,Beth Chaplin,Rebecca Morrill,14,6
The Rough Guide to Cuba 3,3.82,eng,640,7,1,Rough Guides,2,Fiona McAuslan,Matthew  Norman,0,15,6
The Rough Guide to Australia 7,3.93,eng,1256,8,1,Rough Guides,4,Margo Daly,David Leffman,Anne Dehne,15,6
The Rough Guide to Vietnam,3.89,eng,639,34,3,Rough Guides,4,Rough Guides,Jan Dodd,Mark Lewis,14,5
The Rough Guide to The Beatles,3.91,eng,325,50,4,Rough Guides,1,Chris Ingham,0,0,14,6
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,3.94,eng,138,31,1,Routledge,1,Heidi Hayes Jacobs,0,0,14,15
Three Plays,3.94,eng,256,96,8,Routledge,2,Aristophanes,Jeffrey Henderson,0,24,2
Cold Counsel: Women in Old Norse Literature and Myth,3.68,eng,320,19,2,Routledge,2,Sarah M.  Anderson,Karen Swenson,0,18,9
Herman Melville's Mo,3.61,eng,208,50,7,Routledge,2,Michael J. Davey,Duncan Wu,0,17,3
New Media Language,3.0,eng,209,2,0,Routledge,2,Jean Aitchison,Diana M. Lewis,0,17,3
On Rhetoric and Language: Four Key Dialogues,4.2,eng,232,10,1,Routledge,1,Jean Nienkamp,0,0,21,7
The Ethics of Rhetoric,4.14,eng,240,65,9,Routledge,1,Richard M. Weaver,0,0,25,4
The Road to Serfdom,4.18,eng,272,258,23,Routledge,1,Friedrich A. Hayek,0,0,14,4
Strange Sounds: Music  Technology & Culture,3.77,eng,278,26,0,Routledge,1,Timothy D. Taylor,0,0,19,7
Ballet in Western Culture: A History of Its Origins and Evolution,3.53,eng,368,17,0,Routledge,1,Carol Lee,0,0,18,11
Being and Nothingness,3.96,eng,688,23344,267,Routledge,4,Jean-Paul Sartre,Hazel E. Barnes,Mary Warnock,17,3
The Presocratic Philosophers,4.14,eng,728,68,3,Routledge,2,Jonathan Barnes,Ted Honderich,0,38,3
King Solomon's Ring,4.23,eng,192,1509,80,Routledge,2,Konrad Lorenz,Marjorie Kerr Wilson,0,18,3
The Man and the Author: John Milton: Twentieth Century Perspectives,0.0,eng,386,0,0,Routledge,1,J. Martin Evans,0,0,18,10
Marxism and Literary Criticism,3.89,eng,84,646,33,Routledge,1,Terry Eagleton,0,0,18,4
Where We Stand: Class Matters,4.18,eng,164,1780,142,Routledge,1,bell hooks,0,0,20,5
Phenomenology of Perception,4.15,eng,544,5078,77,Routledge,2,Maurice Merleau-Ponty,Colin Smith,0,15,3
Introduction to Phenomenology,4.18,eng,592,217,19,Routledge,1,Dermot Moran,0,0,20,3
Mary Shelley: Her Life  Her Fiction  Her Monsters,3.9,eng,308,80,13,Routledge,1,Anne K. Mellor,0,0,31,10
Essential McLuhan,4.05,eng,416,8,0,Routledge,3,Marshall McLuhan,Eric McLuhan,Frank Zingrone,23,2
Teaching to Transgress: Education as the Practice of Freedom,4.37,eng,216,5162,325,Routledge,1,bell hooks,0,0,26,9
Stone Age Economics,3.9,eng,348,281,26,Routledge,1,Marshall Sahlins,0,0,46,3
Why Did the Soviet Union Collapse?: Understanding Historical Change,3.44,eng,240,42,3,Routledge,1,Robert W. Strayer,0,0,22,9
Philosophy: The Basics,3.84,eng,169,830,70,Routledge,1,Nigel Warburton,0,0,16,3
A Short History of Modern Philosophy (Routledge Classics),3.8,eng,328,348,23,Routledge,1,Roger Scruton,0,0,19,8
Philosophy: The Classics,3.89,eng,257,337,26,Routledge,1,Nigel Warburton,0,0,22,3
The New Don't Blame Mother: Mending the Mother-Daughter Relationship,3.88,eng,320,5,0,Routledge,1,Paula J. Caplan,0,0,20,9
On Film (Thinking in Action),3.9,eng,152,37,1,Routledge,1,Stephen Mulhall,0,0,19,5
Classroom Interactions as Cross-Cultural Encounters: Native Speakers in EFL Lessons,0.0,eng,241,0,0,Routledge,2,Jasmine C.M. Luk,Angel M.Y. Lin,0,14,10
Tractatus Logico-Philosophicus,4.07,eng,142,13578,404,Routledge Classics,4,Ludwig Wittgenstein,David Pears,Brian McGuinness,19,2
Colonialism and Neocolonialism,3.79,eng,252,137,11,Routledge Classics,2,Jean-Paul Sartre,Azzedine Haddour,0,14,3
Man for Himself: An Inquiry into the Psychology of Ethics,4.17,eng,272,1437,30,Routledge Taylor & Francis Books Ltd imprint,1,Erich Fromm,0,0,17,10
The Franco-Prussian War,4.09,eng,532,202,13,Routledge/Taylor & Francis Ltd.,1,Michael Eliot Howard,0,0,19,3
Growing Up Untouchable in India: A Dalit Autobiography,3.65,eng,224,16,4,Rowman & Littlefield Publishers,3,Vasant Moon,Gail Omvedt,Eleanor Zelliot,20,8
On MisEducation (Critical Perspectives),3.76,eng,199,282,20,Rowman & Littlefield Publishers,2,Noam Chomsky,Donaldo Macedo,0,16,4
The Adventures of Baron Munchausen: The Illustrated Screenplay,3.52,eng,238,11,0,Rowman & Littlefield Publishers,2,Terry Gilliam,Charles McKeown,0,31,8
From Nomads to Pilgrims: Stories from Practicing Congregations,4.0,eng,179,13,0,Rowman & Littlefield Publishers,1,Diana Butler Bass,0,0,15,8
Birth Of A Tragedy: Kashmir 1947,4.0,eng,179,9,2,Roxford Books,1,Alastair Lamb,0,0,12,6
The Mini Zen Gardening Kit,3.16,eng,40,14,1,RP Minis,1,Daniel Abdal-Hayy Moore,0,0,20,5
